Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-10-30 14:27:16,false,"Arlington Walking","5.48","541","01:40:26","109","131","119","130","18:19","14:14","492","479","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:40:26.04.5","1","0.0","01:39:44","01:44:13","531","738"
Cycling,2022-10-27 11:11:24,false,"Arlington Cycling","30.21","1,083","04:45:25","108","148","0","0","6.4","21.2","1,102","981","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:41.97.7","7","0.0","04:18:00","04:45:25","469","740"
Cycling,2022-10-26 13:34:35,false,"Arlington Cycling","12.46","368","01:31:39","106","134","0","0","8.2","16.0","251","252","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:21.72.7","3","0.0","01:25:29","01:31:39","553","594"
Walking,2022-10-24 16:02:00,false,"Arlington Walking","3.40","320","01:03:11","99","114","115","127","18:35","15:27","194","210","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:03:10.71.8","1","0.0","01:03:01","01:03:31","474","549"
Cycling,2022-10-22 12:06:46,false,"Arlington Cycling","22.37","776","03:23:10","111","137","0","0","6.6","21.2","902","807","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:07.65.5","5","0.0","03:08:21","03:23:10","560","793"
Walking,2022-10-21 14:01:45,false,"Arlington Walking","2.07","201","00:42:16","114","127","108","125","20:23","17:19","62","72","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","42:15.95.8","1","0.0","00:41:56","00:43:41","623","699"
Walking,2022-10-21 10:37:01,false,"Arlington Walking","1.92","191","00:38:03","106","126","112","126","19:47","17:01","112","49","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:03.19.7","1","0.0","00:37:55","00:38:16","605","719"
Walking,2022-10-19 14:51:21,false,"Arlington Walking","1.90","180","00:37:04","115","133","113","127","19:33","15:32","89","141","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:03.68.9","1","0.0","00:36:53","00:37:46","533","681"
Walking,2022-10-19 12:20:51,false,"Arlington Walking","1.85","186","00:35:42","96","115","117","130","19:18","16:09","118","43","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","35:41.93.3","1","0.0","00:35:32","00:35:59","522","640"
Walking,2022-10-18 15:21:44,false,"Arlington Walking","1.49","145","00:32:31","105","113","103","152","21:46","8:49","43","72","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:31.26.5","1","0.0","00:31:52","00:45:50","601","719"
Walking,2022-10-18 12:51:03,false,"Arlington Walking","1.88","188","00:37:45","99","113","113","129","20:05","16:43","102","43","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:45.41.9","1","0.0","00:37:13","00:48:02","526","644"
Walking,2022-10-17 14:07:33,false,"Arlington Walking","1.80","178","00:36:26","93","112","109","129","20:12","17:13","43","95","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","36:26.17.9","1","0.0","00:36:11","00:37:44","567","668"
Walking,2022-10-17 11:36:28,false,"Arlington Walking","0.99","99","00:19:33","114","123","113","127","19:50","16:26","26","52","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:33.49.9","1","0.0","00:19:22","00:21:12","589","710"
Walking,2022-10-17 10:50:21,false,"Arlington Walking","1.85","201","00:37:54","118","134","103","125","20:27","15:32","115","49","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:54.06.9","1","0.0","00:37:38","00:39:03","520","633"
Walking,2022-10-14 10:50:41,false,"Arlington Walking","4.86","493","01:29:23","97","146","116","135","18:23","14:22","554","541","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:29:23.05.8","1","0.0","01:29:05","01:55:58","535","680"
Walking,2022-10-13 11:47:01,false,"Arlington Walking","4.13","411","01:14:10","109","128","117","127","17:58","5:27","95","177","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:14:10.09.9","1","0.0","01:13:38","01:22:15","455","570"
Cycling,2022-10-12 13:18:49,false,"Arlington Cycling","16.18","530","01:49:45","114","131","0","0","8.8","21.7","269","230","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:13.15.1","4","0.0","01:47:39","01:56:20","512","573"
Cycling,2022-10-10 12:32:40,false,"Arlington Cycling","19.82","740","03:06:03","111","127","0","0","6.4","19.1","640","564","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","43:01.00.7","4","0.0","02:47:19","03:40:12","568","764"
Cycling,2022-10-08 12:05:46,false,"Arlington Cycling","15.62","647","02:41:08","107","133","0","0","5.8","16.3","607","541","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:59.80.9","4","0.0","02:14:45","02:59:09","562","752"
Cycling,2022-10-07 13:10:32,false,"Arlington Cycling","18.69","702","03:09:57","106","137","0","0","5.9","20.5","623","577","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","35:18.88.7","4","0.0","02:43:47","03:09:57","540","728"
